星座,No,名前,メインビルドタイプ,類似の名前
alien,001,ギグ,special,ギグ
alien,002,ファドラ,bond,ファドラ
alien,003,ウルビダ,tension,ウルビダ
alien,004,,tension,
alien,005,バーン,special,バーン
alien,006,ガゼル,special,ガゼル
alien,007,リオーネ,tension,リオーネ
alien,008,ヒート,bond,ヒート
alien,009,ドロル,rough,ドロル
alien,010,グクララ,counter,クララ
alien,011,グレント,special,グレント
alien,012,バーラ,special,バーラ
alien,013,ゴルレオ,bond,ゴルレオ
alien,014,ネッバー,rough,ネッパー
alien,015,コラル,bond,コラル
alien,016,バルンドラ,counter,パンドラ
alien,017,カカロン,special,カロン
alien,018,グリンゴ,justice,グリンゴ
alien,019,リーハム,tension,リーム
alien,020,イオ,counter,イオ
alien,021,タダイダタン,tension,タイタン
alien,022,クリフト,tension,クリプト
alien,023,モール,bond,モール
alien,024,ケイソン,justice,ケイソン
alien,025,デザーム,tension,デザーム
alien,026,ケンビル,rough,ケンビル
alien,027,レーゼ,counter,レーゼ
alien,028,デイアム,rough,ディアム
alien,029,マキュユア,counter,マキュア
alien,030,スオーム,special,スオーム
alien,031,ゼル,rough,ゼル
alien,032,メトロン,tension,メトロン
alien,033,ネロ,bond,ネロ
alien,034,キープブ,tension,キーブ
alien,035,八ウザー,justice,ハウザー
alien,036,ゲイル,special,ゲイル
alien,037,サトス,tension,サトス
alien,038,レアン,counter,レアン
alien,039,八フレー,bond,レーゼ
alien,040,ウィイーズ,special,ウィーズ
alien,041,グラン,bond,グラン
alien,042,クィイィイール,bond,クィール
alien,043,アーグ,tension,オーグ
alien,044,ポニトナ,counter,ボニトナ
alien,045,コーマ,rough,コーマ
alien,046,サイデン,tension,サイデン
alien,047,アイキュー,tension,アイキュー
alien,048,ベルガ,bond,ベルガ
alien,049,人バレン,rough,バレン
alien,050,アイシー,bond,アイシー
alien,051,フロスト,rough,フロスト
alien,052,プブロウ,bond,ブロウ
alien,053,少林寺歩,justice,少林寺歩
alien,054,栗松鉄平,rough,栗松鉄平
alien,055,半田下一,rough,半田真一
alien,056,間野カゲト,justice,闇野カゲト
alien,057,4ョ合回,counter,-
alien,058,杉閑息,justice,-
alien,059,西垣守,rough,西垣守
alien,060,不動明王,rough,不動明王
alien,061,松野空介,counter,松野空介
alien,062,央戸佐吉,bond,宍戸佐吉
alien,063,研崎竜一,special,研崎竜一
alien,064,風丸一郎太,rough,風丸一郎太
alien,065,ポン八,special,白木ポンタ
caravan,001,大谷つくし,justice,大谷つくし
caravan,002,朱人雀夏彦,bond,朱雀夏彦
caravan,003,白虎秋人,rough,白虎秋人
caravan,004,早乙女キリエ,rough,早乙女キリエ
caravan,005,ダンテ・デイアブフブロ,special,ダンテ・ディアブロ
caravan,006,加納輪介,special,加納輪介
caravan,007,坂本良,rough,坂本良
caravan,008,風来康太,tension,風来康太
caravan,009,小車巡,counter,小車巡
caravan,010,,special,
caravan,011,鈴鹿走,counter,鈴鹿走
caravan,012,光子一告,bond,金子一樹
caravan,013,井口満,special,井口満
caravan,014,桶花直弘,justice,橘花直弘
caravan,015,風切彰,rough,風切彰
caravan,016,宝田中,bond,宝田中
caravan,017,広島紅,justice,広島紅
caravan,018,砲羽陽介,counter,砲羽陽介
caravan,019,日向光伸,special,日向光伸
caravan,020,草合,special,-
caravan,021,今村修生,bond,今村修生
caravan,022,井砂卓司,special,井砂卓司
caravan,023,三ツ葉壮,bond,三ツ葉葵
caravan,024,淡山希一,special,火山希一
caravan,025,地辺克希,rough,地辺克希
caravan,026,奥村康文,bond,奥村康文
caravan,027,海音寺一,rough,海音寺勇一
caravan,028,駅道満,bond,駅道満
caravan,029,小玉信輔,rough,小玉信輔
caravan,030,軽井沢啓,special,軽井沢啓
caravan,031,海道貞一,justice,海道貞一
caravan,032,,tension,
caravan,033,責島建,special,南島建
caravan,034,高柳丈二,justice,高柳丈二
caravan,035,宅間頼大,tension,宅間頼太
caravan,036,今田波音,justice,今田波音
caravan,037,総田要,tension,継田要
caravan,038,工藤駆,counter,工藤駆
caravan,039,砂川碧海,counter,砂川碧海
caravan,040,大ん昇,rough,大鯉昇
caravan,041,神奈川航介,bond,神奈川航介
caravan,042,新村海洋,bond,新村海洋
caravan,043,塩田道之介,special,塩田道之介
caravan,044,山道大樹,special,山道大樹
caravan,045,大和田隆太,counter,大和田隆太
caravan,046,高夢款一,special,高夢宗一
caravan,047,吹二士郎,special,吹雪士郎
caravan,048,吹二士郎,bond,吹雪士郎
caravan,049,可多海流,rough,喜多海流
caravan,050,吹二士郎,bond,吹雪士郎
caravan,051,荒谷紺子,bond,荒谷紺子
caravan,052,真都路珠香,counter,真都路珠香
caravan,053,財前塔子,tension,財前塔子
caravan,054,函田鉄,bond,函田鉄
caravan,055,天神阿太郎,bond,天神阿太郎
caravan,056,木暮夕弥,counter,木暮夕弥
caravan,057,天神叶助,counter,天神吽助
caravan,058,立向居陣気,counter,立向居勇気
caravan,059,浦部リカ,tension,浦部リカ
caravan,060,東江矢須奴,rough,東江矢須雄
caravan,061,,counter,
caravan,062,照橋昧歌,justice,照橋昧歌
caravan,063,原睡,counter,原瞳
caravan,064,橋本兼司,counter,橋本兼司
caravan,065,和田勇士,tension,和田勇士
caravan,066,中谷頁之,counter,中谷真之
caravan,067,関谷名人,rough,関谷名人
caravan,068,,tension,
caravan,069,張光,tension,張飛
caravan,070,阿保初花,rough,阿保初花
caravan,071,依田博治,tension,依田博治
caravan,072,白王珍士,bond,白王拳士
caravan,073,ゲラルト・エンダース,counter,ゲラルト・エンダース
caravan,074,ホセ・コスタ,tension,ホセ・コスタ
caravan,075,アラン・ファリオ,bond,アラン・ファリオ
caravan,076,リユー・スケール,bond,リュー・スケール
caravan,077,ロベルト・トトーレス,justice,ロベルト・トーレス
caravan,078,クインシー・ホホースト,special,クインシー・ホースト
caravan,079,歌舞天寺洋,tension,歌舞天寺洋
caravan,080,長六悠,bond,長倉悠
caravan,081,スラニ・ムロンゴ,justice,スラニ・ムロンゴ
caravan,082,開口正陽,justice,開口正陽
caravan,083,馬路蒼騎,justice,馬路蒼騎
caravan,084,生石因児,bond,生石智児
caravan,085,輪王寺頼召,justice,輪王寺頼吾
caravan,086,白蜂虎一郎,special,白峰虎一郎
caravan,087,下間開作,justice,下間開作
caravan,088,木暮夕弥,counter,木暮夕弥
caravan,089,善水樹介,counter,善水樹介
caravan,090,伊里町七郎,bond,伊里虹七郎
caravan,091,川内広明,special,川内広明
caravan,092,都来惑,justice,都来或
caravan,093,車田剛一,tension,車田剛一
caravan,094,,bond,
caravan,095,望都黒周,special,望都黒周
caravan,096,山岳良利井,special,山岳良利井
caravan,097,相模原撲育,bond,相模原撲彦
caravan,098,者登呂ヒュン,rough,煮登呂ヒュン
caravan,099,緑青鉱十郎,counter,緑青鉱十郎
caravan,100,隆杉飼流,bond,隆杉飼流
caravan,101,シーゲッツツ,tension,シーゲッツ
caravan,102,アイアンガツツ,special,アイアンガッツ
caravan,103,伝開道忠,justice,伝開道忠
diamond,001,,counter,
diamond,002,柴礼朝奴,special,柴礼朝雄
diamond,003,青態春紀,bond,青龍春紀
diamond,004,アル・カティア,counter,アル・カティア
diamond,005,泡涼京志郎,tension,泡沫京志郎
diamond,006,鳴滝晴記,justice,鳴滝晴彦
diamond,007,地内雅育,rough,地内雅彦
diamond,008,久米龍吉,counter,久米龍吉
diamond,009,長月九,justice,長月九
diamond,010,恩田心太郎,special,恩田心太郎
diamond,011,高胡菜生,tension,高胡菜生
diamond,012,海原浴,bond,海原浴
diamond,013,鳴海伸行,justice,鳴海伸行
diamond,014,,rough,
diamond,015,茜広明,bond,茜広明
diamond,016,相司浩介,special,粧司浩介
diamond,017,誠淵晃司,bond,岩淵晃司
diamond,018,沼口司,counter,沼口司
diamond,019,望月透修,rough,望月透修
diamond,020,吉永陽介,bond,吉永陽介
diamond,021,宮北昭修,justice,宮北昭修
diamond,022,安東道暴,rough,安東道典
diamond,023,増田忠節,rough,増田忠節
diamond,024,玲洋喜八,justice,竜洋喜八
diamond,025,西井とおる,bond,西井とおる
diamond,026,淡浦祥大,bond,火浦祥太
diamond,027,隷本波美,tension,塚本波美
diamond,028,川上昌也,rough,川上昌也
diamond,029,神水流美映,rough,神水流美映
diamond,030,磯野加奈恵,tension,磯野加奈恵
diamond,031,ラファエル・ロベス,counter,ラファエル・ロペス
diamond,032,メッサー・ジャシム,bond,メッサー・ジャシム
diamond,033,油日桂志郎,tension,油日桂志郎
diamond,034,,tension,
diamond,035,誠成意景,justice,岩成意景
diamond,036,論理的奴,special,論理的雄
diamond,037,班天樽,justice,-
diamond,038,鳩目金大,special,鳩目金太
diamond,039,弓削昇,tension,弓削昇
diamond,040,奉仁田克男,counter,盃仁田克男
diamond,041,開放空也,rough,開放空也
