星座,No,名前,メインビルドタイプ
おうえん座,1,冷泉 錐,正義
おうえん座,2,木野 秋,テンション
おうえん座,3,一乃 七助,テンション
おうえん座,4,サンダユウ・ミシマ,必殺
おうえん座,5,勝,正義
おうえん座,6,大久保 俊生,ラフプレー
おうえん座,7,如月 沙理奈,キズナ
おうえん座,8,場寅 仕,正義
おうえん座,9,生垣 冗,キズナ
おうえん座,10,茂木 沙樹都,必殺
おうえん座,11,武方 友,ラフプレー
おうえん座,12,栗松 鉄平,カウンター
おうえん座,13,初鳥 伴三,キズナ
おうえん座,14,向日葵 まこと,正義
おうえん座,15,仲間田 太助,正義
おうえん座,16,大矢 慢太郎,正義
おうえん座,17,熱井 羽之,正義
おうえん座,18,平 和人,カウンター
おうえん座,19,真田 幸夫,正義
おうえん座,20,劉備 玄,カウンター
おうえん座,21,伝法 平介,ラフプレー
おうえん座,22,仲 義人,カウンター
おうえん座,23,太鼓田 保,キズナ
おうえん座,24,恵比寿原 始,カウンター
おうえん座,25,大黒 弘樹,テンション
おうえん座,26,陸奥 大吾,必殺
おうえん座,27,登川 光,必殺
おうえん座,28,永長 千里,テンション
おうえん座,29,博多 商次,ラフプレー
おうえん座,30,栃木 光,必殺
おうえん座,31,薬原 椋人,カウンター
おうえん座,32,愛甲 大介,カウンター
おうえん座,33,扇谷 享,必殺
おうえん座,34,大福 笑介,ラフプレー
おうえん座,35,手崎 清矢,テンション
おうえん座,36,湯浅 洸,テンション
おうえん座,37,奈良 清吾,テンション
おうえん座,38,花村 広之,テンション
おうえん座,39,高原 竜也,テンション
おうえん座,40,王円 弾,ラフプレー
おうえん座,41,柘植 成樹,正義
おうえん座,42,緑川 定,必殺
おうえん座,43,岩城 真一,テンション
おうえん座,44,海崎 清美,カウンター
おうえん座,45,浦片 佳彦,カウンター
おうえん座,46,鹿島 精児,キズナ
おうえん座,47,岡野 一輝,テンション
おうえん座,48,海堂 脩平,ラフプレー
おうえん座,49,細田 啓介,ラフプレー
おうえん座,50,高岡 憲史,必殺
おうえん座,51,正目 光一,カウンター
おうえん座,52,古賀 獅童,キズナ
おうえん座,53,警固 鉄洋,テンション
おうえん座,54,角馬 圭太,必殺
おうえん座,55,五洋 武,テンション
おうえん座,56,藤崎 三省,正義
おうえん座,57,大林 たかお,カウンター
おうえん座,58,車谷 曲男,カウンター
おうえん座,59,吉野 大,カウンター
おうえん座,60,請川 渡志,キズナ
おうえん座,61,大阪 奈央彦,カウンター
おうえん座,62,円堂 カノン,必殺
おうえん座,63,少弐 暁,カウンター
おうえん座,64,平松 銀次,カウンター
おうえん座,65,藤内 真弓,正義
おうえん座,66,鉄北 園子,正義
おうえん座,67,千原 桂花,正義
おうえん座,68,ランス・ロットン,ラフプレー
おうえん座,69,戸羽 要,カウンター
おうえん座,70,札野 霧正,ラフプレー
おうえん座,71,真田 六郎,キズナ
おうえん座,72,蜂須賀 忠虎,キズナ
おうえん座,73,霧野 蘭丸,キズナ
おうえん座,74,久遠 道也,正義
おうえん座,75,僧侶 安心,テンション
おうえん座,76,銘慈 魔子,ラフプレー
おうえん座,77,我如古 柘榴,ラフプレー
