星座,No,類似の名前,メインビルドタイプ
alien,1,ギグ,special
alien,2,ファドラ,bond
alien,3,ウルビダ,tension
alien,4,染岡竜吾,tension
alien,5,バーン,special
alien,6,ガゼル,special
alien,7,リオーネ,tension
alien,8,ヒート,bond
alien,9,ドロル,rough
alien,10,クララ,counter
alien,11,グレント,special
alien,12,バーラ,special
alien,13,ゴルレオ,bond
alien,14,ネッパー,rough
alien,15,コラル,bond
alien,16,パンドラ,counter
alien,17,カロン,special
alien,18,グリンゴ,justice
alien,19,リーム,tension
alien,20,イオ,counter
alien,21,タイタン,tension
alien,22,クリプト,tension
alien,23,モール,bond
alien,24,ケイソン,justice
alien,25,デザーム,tension
alien,26,ケンビル,rough
alien,27,レーゼ,counter
alien,28,ディアム,rough
alien,29,マキュア,counter
alien,30,スオーム,special
alien,31,ゼル,rough
alien,32,メトロン,tension
alien,33,ネロ,bond
alien,34,キーブ,tension
alien,35,ハウザー,justice
alien,36,ゲイル,special
alien,37,サトス,tension
alien,38,レアン,counter
alien,39,レーゼ,bond
alien,40,ウィーズ,special
alien,41,グラン,bond
alien,42,クィール,bond
alien,43,オーグ,tension
alien,44,ボニトナ,counter
alien,45,コーマ,rough
alien,46,サイデン,tension
alien,47,アイキュー,tension
alien,48,ベルガ,bond
alien,49,バレン,rough
alien,50,アイシー,bond
alien,51,フロスト,rough
alien,52,ブロウ,bond
alien,53,少林寺歩,justice
alien,54,栗松鉄平,rough
alien,55,半田真一,rough
alien,56,闇野カゲト,justice
alien,57,影野仁,counter
alien,58,杉森威,justice
alien,59,西垣守,rough
alien,60,不動明王,rough
alien,61,松野空介,counter
alien,62,宍戸佐吉,bond
alien,63,研崎竜一,special
alien,64,風丸一郎太,rough
alien,65,白木ポンタ,special
caravan,1,大谷つくし,justice
caravan,2,朱雀夏彦,bond
caravan,3,白虎秋人,rough
caravan,4,早乙女キリエ,rough
caravan,5,ダンテ・ディアブロ,special
caravan,6,加納輪介,special
caravan,7,坂本良,rough
caravan,8,風来康太,tension
caravan,9,小車巡,counter
caravan,10,空原誘,special
caravan,11,鈴鹿走,counter
caravan,12,金子一樹,bond
caravan,13,井口満,special
caravan,14,橘花直弘,justice
caravan,15,風切彰,rough
caravan,16,宝田中,bond
caravan,17,広島紅,justice
caravan,18,砲羽陽介,counter
caravan,19,日向光伸,special
caravan,20,草薙剣,special
caravan,21,今村修生,bond
caravan,22,井砂卓司,special
caravan,23,三ツ葉葵,bond
caravan,24,火山希一,special
caravan,25,地辺克希,rough
caravan,26,奥村康文,bond
caravan,27,海音寺勇一,rough
caravan,28,駅道満,bond
caravan,29,小玉信輔,rough
caravan,30,軽井沢啓,special
caravan,31,海道貞一,justice
caravan,32,須賀原巡,tension
caravan,33,南島建,special
caravan,34,高柳丈二,justice
caravan,35,宅間頼太,tension
caravan,36,今田波音,justice
caravan,37,継田要,tension
caravan,38,工藤駆,counter
caravan,39,砂川碧海,counter
caravan,40,大鯉昇,rough
caravan,41,神奈川航介,bond
caravan,42,新村海洋,bond
caravan,43,塩田道之介,special
caravan,44,山道大樹,special
caravan,45,大和田隆太,counter
caravan,46,高夢宗一,special
caravan,47,吹雪士郎,special
caravan,48,吹雪士郎,bond
caravan,49,喜多海流,rough
caravan,50,吹雪士郎,bond
caravan,51,荒谷紺子,bond
caravan,52,真都路珠香,counter
caravan,53,財前塔子,tension
caravan,54,函田鉄,bond
caravan,55,天神阿太郎,bond
caravan,56,木暮夕弥,counter
caravan,57,天神吽助,counter
caravan,58,立向居勇気,counter
caravan,59,浦部リカ,tension
caravan,60,東江矢須雄,rough
caravan,61,芙愛瑠宇,counter
caravan,62,照橋昧歌,justice
caravan,63,原瞳,counter
caravan,64,橋本兼司,counter
caravan,65,和田勇士,tension
caravan,66,中谷真之,counter
caravan,67,関谷名人,rough
caravan,68,土方雷電,tension
caravan,69,張飛,tension
caravan,70,阿保初花,rough
caravan,71,依田博治,tension
caravan,72,白王拳士,bond
caravan,73,ゲラルト・エンダース,counter
caravan,74,ホセ・コスタ,tension
caravan,75,アラン・ファリオ,bond
caravan,76,リュー・スケール,bond
caravan,77,ロベルト・トーレス,justice
caravan,78,クインシー・ホースト,special
caravan,79,歌舞天寺洋,tension
caravan,80,長倉悠,bond
caravan,81,スラニ・ムロンゴ,justice
caravan,82,開口正陽,justice
caravan,83,馬路蒼騎,justice
caravan,84,生石智児,bond
caravan,85,輪王寺頼吾,justice
caravan,86,白峰虎一郎,special
caravan,87,下間開作,justice
caravan,88,木暮夕弥,counter
caravan,89,善水樹介,counter
caravan,90,伊里虹七郎,bond
caravan,91,川内広明,special
caravan,92,都来或,justice
caravan,93,車田剛一,tension
caravan,94,超馬行,bond
caravan,95,望都黒周,special
caravan,96,山岳良利井,special
caravan,97,相模原撲彦,bond
caravan,98,煮登呂ヒュン,rough
caravan,99,緑青鉱十郎,counter
caravan,100,隆杉飼流,bond
caravan,101,シーゲッツ,tension
caravan,102,アイアンガッツ,special
caravan,103,伝開道忠,justice
diamond,1,雷電真太郎,counter
diamond,2,柴礼朝雄,special
diamond,3,青龍春紀,bond
diamond,4,アル・カティア,counter
diamond,5,泡沫京志郎,tension
diamond,6,鳴滝晴彦,justice
diamond,7,地内雅彦,rough
diamond,8,久米龍吉,counter
diamond,9,長月九,justice
diamond,10,恩田心太郎,special
diamond,11,高胡菜生,tension
diamond,12,海原浴,bond
diamond,13,鳴海伸行,justice
diamond,14,富嶽厚志,rough
diamond,15,茜広明,bond
diamond,16,粧司浩介,special
diamond,17,岩淵晃司,bond
diamond,18,沼口司,counter
diamond,19,望月透修,rough
diamond,20,吉永陽介,bond
diamond,21,宮北昭修,justice
diamond,22,安東道典,rough
diamond,23,増田忠節,rough
diamond,24,竜洋喜八,justice
diamond,25,西井とおる,bond
diamond,26,火浦祥太,bond
diamond,27,塚本波美,tension
diamond,28,川上昌也,rough
diamond,29,神水流美映,rough
diamond,30,磯野加奈恵,tension
diamond,31,ラファエル・ロペス,counter
diamond,32,メッサー・ジャシム,bond
diamond,33,油日桂志郎,tension
diamond,34,田辺さやか,tension
diamond,35,岩成意景,justice
diamond,36,論理的雄,special
diamond,37,斑天橙,justice
diamond,38,鳩目金太,special
diamond,39,弓削昇,tension
diamond,40,盃仁田克男,counter
diamond,41,開放空也,rough
diamond,42,千予波運,bond
diamond,43,草戸育之進,rough
diamond,44,出石泰児,counter
diamond,45,岸城直貞,tension
diamond,46,土一十,bond
diamond,47,宮太良男,special
diamond,48,巴アル,special
